Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,Royal blue lehenga with heavy golden zari and sequin embroidery,"<p data-start=""161"" data-end=""418""><strong data-start=""161"" data-end=""180"">Lehenga Details</strong><br data-start=""180"" data-end=""183"">Lehenga Fabric: Fox Georgette<br data-start=""212"" data-end=""215"">Lehenga Work: Embroidery with sequins and stone work, includes cancan and canvas patta<br data-start=""301"" data-end=""304"">Lehenga Flare: 4 meter<br data-start=""326"" data-end=""329"">Lehenga Type: Semi-stitched<br data-start=""356"" data-end=""359"">Lehenga Length: 42 inches<br data-start=""384"" data-end=""387"" data-is-only-node="""">Lehenga Size: Up to 44 inches</p>
<p data-start=""420"" data-end=""546""><strong data-start=""420"" data-end=""438"">Blouse Details</strong><br data-start=""438"" data-end=""441"">Blouse Fabric: Fox Georgette<br data-start=""469"" data-end=""472"">Blouse Work: Sequins embroidery work<br data-start=""508"" data-end=""511"">Blouse Type: 1.3 meter unstitched</p>
<p data-start=""548"" data-end=""691""><strong data-start=""548"" data-end=""567"">Dupatta Details</strong><br data-start=""567"" data-end=""570"">Dupatta Fabric: Soft butterfly net and fox georgette<br data-start=""622"" data-end=""625"">Dupatta Work: Sequins embroidered work<br data-start=""663"" data-end=""666"">Dupatta Size: 2.3 meter</p>
<p data-start=""693"" data-end=""723"">Product Weight: Under 1.5 kg</p>",Gagan Trends,Uncategorized,lehenga,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, #WeddingLehenga",true,Size,XS,,,,,,,,GT-1621,1500.0,,0,deny,manual,2678.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097174_y.jpg?v=1760110744,1,"",false,,,,,,,,,,,,,,,,,,,,,kg,,,active
blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,,,,,,,,,S,,,,,,,,GT-1622,1500.0,,0,deny,manual,2678.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097190_y.jpg?v=1760110744,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,,,,,,,,,M,,,,,,,,GT-1623,1500.0,,0,deny,manual,2678.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097189_y.jpg?v=1760110744,3,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,,,,,,,,,L,,,,,,,,GT-1624,1500.0,,0,deny,manual,2678.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097188_y.jpg?v=1760110744,4,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,,,,,,,,,XL,,,,,,,,GT-1625,1500.0,,0,deny,manual,2678.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097187_y.jpg?v=1760110744,5,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,,,,,,,,,2XL,,,,,,,,GT-1626,1500.0,,0,deny,manual,2678.00,5598.00,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,Deep navy blue ensemble with intricate silver zari and thread embroidery,"<p data-start=""126"" data-end=""370""><strong data-start=""126"" data-end=""145"">Lehenga Details</strong><br data-start=""145"" data-end=""148"">Lehenga Fabric: Faux Georgette<br data-start=""178"" data-end=""181"">Lehenga Work: Heavy sequins embroidery work with cancan and canvas patta<br data-start=""253"" data-end=""256"">Lehenga Flare: 4 meter<br data-start=""278"" data-end=""281"">Lehenga Type: Semi stitched<br data-start=""308"" data-end=""311"">Lehenga Length: 42 inches<br data-start=""336"" data-end=""339"" data-is-only-node="""">Lehenga Size: Up to 44 inches</p>
<p data-start=""372"" data-end=""558""><strong data-start=""372"" data-end=""399"">Koti and Blouse Details</strong><br data-start=""399"" data-end=""402"">Koti and Blouse Fabric: Faux Georgette<br data-start=""440"" data-end=""443"">Koti and Blouse Work: Sequins embroidery work<br data-start=""488"" data-end=""491"">Koti Type: Free size stitched<br data-start=""520"" data-end=""523"">Blouse Type: 1.3 meter unstitched</p>
<p data-start=""560"" data-end=""681""><strong data-start=""560"" data-end=""579"">Dupatta Details</strong><br data-start=""579"" data-end=""582"">Dupatta Fabric: Faux Georgette<br data-start=""612"" data-end=""615"">Dupatta Work: Sequins embroidered work<br data-start=""653"" data-end=""656"">Dupatta Size: 2.3 meter</p>
<p data-start=""683"" data-end=""711"">Product Weight: Under 2 kg</p>",Gagan Trends,Uncategorized,lehenga,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, #WeddingLehenga",true,SIZE,XS,,,,,,,,GT-1647 BLUE-1,1500.0,,0,deny,manual,3222.00,6300.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709995_y.jpg?v=1760339899,1,"",false,,,,,,,,,,,,,,,,,,,,,kg,,,active
royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,,,,,,,,,S,,,,,,,,GT-1647 BLUE-2,1500.0,,0,deny,manual,3222.00,6300.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709997_y.jpg?v=1760339899,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,,,,,,,,,M,,,,,,,,GT-1647 BLUE-3,1500.0,,0,deny,manual,3222.00,6300.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616710000_y.jpg?v=1760339899,3,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,,,,,,,,,L,,,,,,,,GT-1647 BLUE-4,1500.0,,0,deny,manual,3222.00,6300.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709999_y.jpg?v=1760339899,4,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,,,,,,,,,XL,,,,,,,,GT-1647 BLUE-5,1500.0,,0,deny,manual,3222.00,6300.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616710001_y.jpg?v=1760339899,5,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,,,,,,,,,2XL,,,,,,,,GT-1647 BLUE-6,1500.0,,0,deny,manual,3222.00,6300.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709998_y.jpg?v=1760339899,6,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,Bridal Lehenga – Red & Gold Heavy Embroidered Zari and Sequins Work Wedding Wear,"<p data-start=""148"" data-end=""393""><strong data-start=""148"" data-end=""167"">Lehenga Details</strong><br data-start=""167"" data-end=""170"">Lehenga Fabric: Faux Georgette<br data-start=""200"" data-end=""203"">Lehenga Work: Sequins embroidery work with cancan and canvas patta<br data-start=""269"" data-end=""272"">Lehenga Flare: 4 meter flared<br data-start=""301"" data-end=""304"">Lehenga Type: Semi stitched<br data-start=""331"" data-end=""334"">Lehenga Length: 42 inches<br data-start=""359"" data-end=""362"">Lehenga Size: Up to 44 inches</p>
<p data-start=""395"" data-end=""533""><strong data-start=""395"" data-end=""413"">Blouse Details</strong><br data-start=""413"" data-end=""416"">Blouse Fabric: Fox Georgette with latkan<br data-start=""456"" data-end=""459"">Blouse Work: Sequins embroidery work<br data-start=""495"" data-end=""498"">Blouse Type: 1.3 meter unstitched</p>
<p data-start=""535"" data-end=""678""><strong data-start=""535"" data-end=""554"">Dupatta Details</strong><br data-start=""554"" data-end=""557"">Dupatta Fabric: Soft butterfly net<br data-start=""591"" data-end=""594"">Dupatta Work: Sequins embroidered work with fancy latkan<br data-start=""650"" data-end=""653"">Dupatta Size: 2.3 meter</p>
<p data-start=""680"" data-end=""710"">Product Weight: Under 1.5 kg</p>",Gagan Trends,Uncategorized,lehenga,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, #WeddingLehenga",true,SIZE,XS,,,,,,,,GT-1618,1500.0,,0,deny,manual,2757.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667100_y.jpg?v=1760110742,1,"",false,,,,,,,,,,,,,,,,,,,,,kg,,,active
bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,,,,,,,,,S,,,,,,,,GT-1619,1500.0,,0,deny,manual,2757.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667102_y.jpg?v=1760110743,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,,,,,,,,,M,,,,,,,,GT-1620,1500.0,,0,deny,manual,2757.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667104_y.jpg?v=1760110742,3,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,,,,,,,,,L,,,,,,,,GT-1621,1500.0,,0,deny,manual,2757.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667103_y.jpg?v=1760110742,4,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,,,,,,,,,XL,,,,,,,,GT-1622,1500.0,,0,deny,manual,2757.00,5598.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667101_y.jpg?v=1760110742,5,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,,,,,,,,,2XL,,,,,,,,GT-1623,1500.0,,0,deny,manual,2757.00,5598.00,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,Butterfly Net Lehenga Choli with Sequins Embroidery & Blouse – Semi-Stitched Sider Lehenga,"<hr data-start=""115"" data-end=""118"">
<p data-start=""120"" data-end=""367""><strong data-start=""120"" data-end=""139"">Lehenga Details</strong><br data-start=""139"" data-end=""142"">Lehenga Fabric: Butterfly Net<br data-start=""171"" data-end=""174"">Lehenga Work: Sequins embroidered work with cancan and canvas patta<br data-start=""241"" data-end=""244"">Lehenga Flare: 3.5 meter flared<br data-start=""275"" data-end=""278"">Lehenga Type: Semi stitched<br data-start=""305"" data-end=""308"">Lehenga Length: 42 inches<br data-start=""333"" data-end=""336"">Lehenga Size: Up to 44 inches</p>
<p data-start=""369"" data-end=""522""><strong data-start=""369"" data-end=""387"">Blouse Details</strong><br data-start=""387"" data-end=""390"">Blouse Fabric: Butterfly Net with lining<br data-start=""430"" data-end=""433"">Blouse Work: Front and back sequins embroidery work<br data-start=""484"" data-end=""487"">Blouse Type: 1.3 meter unstitched</p>
<p data-start=""524"" data-end=""643""><strong data-start=""524"" data-end=""543"">Dupatta Details</strong><br data-start=""543"" data-end=""546"">Dupatta Fabric: Butterfly Net<br data-start=""575"" data-end=""578"">Dupatta Work: Sequins embroidery work<br data-start=""615"" data-end=""618"">Dupatta Size: 2.3 meter</p>
<p data-start=""645"" data-end=""675"">Product Weight: Under 1.4 kg</p>",Gagan Trends,Uncategorized,Lehenga,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #FestiveFashion, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #WeddingLehenga, Bridal Lehenga, Designer Lehenga, Traditional Wear",true,SIZE,XS,,,,,,,,GT-1541 BLUE-1,0.0,shopify,0,continue,manual,2599.00,6199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543495_y.jpg?v=1760110741,1,"",false,,,,,,,,,,,,,,,,,,,,,kg,,,active
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,S,,,,,,,,GT-1541 BLUE-2,0.0,shopify,0,continue,manual,2599.00,6199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543491_y.jpg?v=1760110741,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,M,,,,,,,,GT-1541 BLUE-3,0.0,shopify,0,continue,manual,2599.00,6199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543492_y.jpg?v=1760110742,3,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,L,,,,,,,,GT-1541 BLUE-4,0.0,shopify,0,continue,manual,2599.00,6199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543497_y.jpg?v=1760110742,4,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,XL,,,,,,,,GT-1541 BLUE-5,0.0,shopify,0,continue,manual,2599.00,6199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543496_y.jpg?v=1760110741,5,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,2XL,,,,,,,,GT-1541 BLUE-6,0.0,shopify,0,continue,manual,2599.00,6199.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543490_y.jpg?v=1760110741,6,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543493_y.jpg?v=1760110742,7,"",,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543494_y.jpg?v=1760110741,8,"",,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543489_y.jpg?v=1760110742,9,"",,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543502_y.jpg?v=1760110742,10,"",,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543501_y.jpg?v=1760110742,11,"",,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543500_y.jpg?v=1760110742,12,"",,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543499_y.jpg?v=1760110741,13,"",,,,,,,,,,,,,,,,,,,,,,,,,
